Which award has a music artist received a nomination for?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?award ?musicArtist
WHERE {?musicArtist a mm:MusicArtist ; mm:nominatedForAward ?award}"
Which award has a music artist received?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?award ?musicArtist
WHERE {?musicArtist a mm:MusicArtist ; mm:receivedAward ?award}"
Which recording is produced during a recording process?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?recording ?recordingProcess
WHERE {?recordingProcess a mm:RecordingProcess ; mm:producesRecording ?recording}"
Which equipment is involved in a recording process?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?equipment ?recordingProcess
WHERE {?recordingProcess a mm:RecordingProcess ; mm:hasEquipment ?equipment}"
Which is the recording process that recorded a musical performance?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?musicalPerformance ?recordingProcess
WHERE {?recordingProcess a mm:RecordingProcess ; mm:isRecordingProcessOf ?musicalPerformance . 
?musicalPerformance a mm:MusicalPerformance .}"
Which are the agents involved in a creative process? ,"PREFIX core: <https://w3id.org/polifonia/ontology/core/>
PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?agent ?creativeProcess
WHERE {?creativeProcess a/rdfs:subClassOf* mm:CreativeProcess ; core:involvesAgent ?agent}"
Which are the creative actions of a creative process?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?action ?creativeProcess
WHERE {?creativeProcess a/rdfs:subClassOf* mm:CreativeProcess ; mm:involvesCreativeAction ?action}"
Which is the process that led to the creation of a musical piece?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?musicEntity ?creativeProcess
WHERE {?creativeProcess a/rdfs:subClassOf* mm:CreativeProcess ; mm:creates ?musicEntity}"
When did the creation process took place?,"PREFIX core: <https://w3id.org/polifonia/ontology/core/>
PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?time ?creativeProcess
WHERE {?creativeProcess a/rdfs:subClassOf* mm:CreativeProcess ; core:hasTimeInterval ?time}"
Where did the creation process took place?,"PREFIX core: <https://w3id.org/polifonia/ontology/core/>
PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT DISTINCT ?place ?creativeProcess
WHERE {?creativeProcess a/rdfs:subClassOf* mm:CreativeProcess ; core:hasPlace ?place}"
Which music entity is created during a musical performance?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?musicEntity ?musicalPerformance
WHERE {?musicalPerformance a mm:MusicalPerformance ; mm:creates ?musicEntity}"
Which person is a dedication statement dedicated to?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?person ?dedication
WHERE {?dedication a mm:DedicationStatement ; mm:isDedicatedTo ?person}"
Which is the form type of an abstract score?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?formType ?abstractScore
WHERE {?abstractScore a mm:AbstractScore ; mm:hasFormType ?formType}"
Which is the music genre associated with/attributed to a music artist?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?genre ?musicArtist
WHERE {?musicArtist a mm:MusicArtist ; mm:hasGenre ?genre}"
Which is the instrumentation associated with an abstract score?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?instrumentation ?abstractScore
WHERE {?abstractScore a mm:AbstractScore ; mm:hasInstrumentation ?instrumentation}"
Which is the key an abstract score is composed or written in?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?key ?abstractScore
WHERE {?abstractScore a mm:AbstractScore ; mm:hasKey ?key}"
Which is the license of a release?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?license ?release
WHERE {?release a mm:Release ; mm:hasLicense ?license}"
Which is the license of a score?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?license ?score
WHERE {?score a mm:Score ; mm:hasLicense ?license}"
Which is the license of a recording?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?license ?recording
WHERE {?recording a mm:Recording ; mm:hasLicense ?license}"
Which is the opus statement associated with a music entity?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?opusStatement ?musicEntity
WHERE {?musicEntity a mm:MusicEntity ; mm:hasOpusStatement ?opusStatement}"
Which is the publisher involved in a publication situation?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?publisher ?publicationSituation
WHERE {?publicationSituation a mm:PublicationSituation ; mm:hasPublisher ?publisher}"
